date,patch,matchtype,matchnum,team,side,victorydefeat,time,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,summoner,role,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute,visionscoreperhour
2021-01-04,10.25,scrim,1,university of puget sound,blue,victory,22:33,4,1,0,4,1,Megabucks,support,Leona,0,1,21,0,0,0,5.6,1.8,3.3,0.6,18.1,6.8,5.3,5.9,0,2.4,0.8,1.5,11.4,7.7,2.5,1.2,17,2,0,5,6.4,5.5,24,0,0,0,21,0.724137931,5.6,0.104477612,0.875,1.7,-5,1.06,63.86
2021-01-04,10.25,scrim,1,lindenwood university,red,defeat,22:33,1,0,1,0,1,LoL Coach Sam,top,Malphite,0,2,1,0,0,0,8,1.4,6.5,0,79.5,29.9,48.4,1.1,9,7.6,2.2,0.3,12.9,7.6,4.9,0.5,9,1,0,3,7.2,6.7,150,0,0,0,0.5,0.5,4,0.222841226,1.111111111,-0.2,45,6.65,34.59
2021-01-04,10.25,scrim,1,lindenwood university,red,defeat,22:33,1,0,1,0,1,Litning Drincer,jungle,Olaf,1,9,1,1,1,0,6.6,4.4,0,2.2,91.4,65.2,6.8,19.4,0,17.4,0,8.6,24.7,17.6,6.1,1,1,5,0,1,6.2,6,5,94,78,0,0.222222222,1,0.733333333,0.183844011,1.064516129,-2.5,-35,4.39,18.63
2021-01-04,10.25,scrim,1,lindenwood university,red,defeat,22:33,1,0,1,0,1,VinaZz VI,mid,Anivia,1,7,0,1,1,0,9.8,0.8,8.5,0.6,74.3,7.5,64.6,2.2,0,5.9,0,0.1,14.7,8.8,5.1,0.8,6,1,0,0,6.6,5.8,126,0,0,0,0.142857143,0.5,1.4,0.272980501,1.484848485,-2.5,-48,5.59,18.63
2021-01-04,10.25,scrim,1,lindenwood university,red,defeat,22:33,1,0,1,0,1,MoonJuices,adc,Miss Fortune,0,5,1,0,0,0,8.4,7.6,0.7,0,74.3,66.9,1.9,5.5,522,4,1.4,1.4,10,6.5,3.1,0.4,10,2,0,3,6.6,6.4,154,0,0,0,0.2,0.5,1.68,0.233983287,1.272727273,-5.4,-26,6.83,39.91
2021-01-04,10.25,scrim,1,lindenwood university,red,defeat,22:33,1,0,1,0,1,bricktps,support,Nautilus,0,6,1,0,0,0,3.1,0.5,2.4,0.2,12.9,3.5,3.8,5.5,0,0.9,0.2,0,9.9,5.5,4.2,0.2,5,5,0,1,4.7,4.5,29,0,0,0,0.166666667,0.5,0.516666667,0.086350975,0.659574468,-1.7,5,1.29,29.27
2021-01-04,10.25,scrim,2,lindenwood university,blue,defeat,39:01,4,0,1,3,0,LoL Coach Sam,top,Sion,7,4,9,7,1,1,25,11,13.8,0.2,179.5,111.1,67.4,1,21,13.2,6,6.8,49.1,18.3,24,6.9,10,4,0,8,15.2,14.6,222,8,8,0,4,0.888888889,6.25,0.271444083,1.644736842,3.1,43,5.89,33.83
2021-01-04,10.25,scrim,2,lindenwood university,blue,defeat,39:01,4,0,1,3,0,Litning Drincer,jungle,Pantheon,6,9,10,4,2,0,15.2,12.2,2,1.1,191.2,169.4,14.2,7.6,0,23.7,1.6,15.6,40,23.7,14,2.3,3,7,0,2,13,12.7,29,155,116,1,1.777777778,0.888888889,1.688888889,0.165038002,1.169230769,-2,-24,4.72,18.45
2021-01-04,10.25,scrim,2,lindenwood university,blue,defeat,39:01,4,0,1,3,0,VinaZz VI,mid,Seraphine,5,4,7,5,1,0,27.4,1.1,26.2,0.1,221.2,14.6,185.4,21.2,0,10.5,1.4,10.1,12.5,8.8,3,0.7,14,4,0,3,14.6,14.4,249,12,12,0,3,0.666666667,6.85,0.297502714,1.876712329,-2.5,-36,6.69,32.29
2021-01-04,10.25,scrim,2,lindenwood university,blue,defeat,39:01,4,0,1,3,0,MoonJuices,adc,Miss Fortune,0,7,12,0,0,0,20.3,18.8,1.1,0.4,209.2,201.5,4.2,3.5,790,16.5,1.9,7.6,21.3,11.6,8.5,1.2,17,8,0,4,13.2,12.2,265,27,20,0,1.714285714,0.666666667,2.9,0.220412595,1.537878788,-5,-47,7.48,44.60
